community_id,size
0,1326
1,994
2,939
3,935
4,882
5,732
6,724
7,701
8,698
9,676
10,662
11,652
12,630
13,624
14,600
15,585
16,490
17,462
18,442
19,420
20,406
21,335
22,335
23,279
24,269
25,250
26,249
27,241
28,241
29,238
30,233
31,230
32,226
33,223
34,218
35,208
36,207
37,202
38,192
39,188
40,184
41,180
42,178
43,177
44,171
45,170
46,153
47,151
48,142
49,137
50,134
51,133
52,132
53,128
54,127
55,127
56,123
57,120
58,119
59,119
60,117
61,114
62,112
63,109
64,109
65,108
66,107
67,105
68,104
69,103
70,102
71,102
72,100
73,100
74,100
75,99
76,98
77,98
78,98
79,96
80,96
81,95
82,94
83,94
84,92
85,92
86,91
87,90
88,87
89,87
90,86
91,86
92,84
93,84
94,83
95,82
96,82
97,81
98,81
99,81
100,80
101,80
102,80
103,78
104,78
105,77
106,76
107,76
108,76
109,76
110,74
111,74
112,73
113,73
114,71
115,71
116,71
117,70
118,70
119,69
120,69
121,69
122,68
123,68
124,68
125,68
126,67
127,66
128,66
129,66
130,64
131,64
132,63
133,63
134,62
135,61
136,61
137,61
138,61
139,61
140,60
141,59
142,59
143,59
144,59
145,58
146,58
147,58
148,57
149,57
150,57
151,56
152,56
153,56
154,55
155,55
156,55
157,54
158,54
159,54
160,53
161,53
162,53
163,52
164,52
165,52
166,52
167,51
168,51
169,51
170,50
171,50
172,50
173,50
174,50
175,49
176,49
177,49
178,49
179,48
180,48
181,48
182,48
183,48
184,48
185,48
186,47
187,47
188,47
189,46
190,46
191,46
192,46
193,46
194,46
195,46
196,45
197,45
198,45
199,45
200,44
201,44
202,44
203,44
204,43
205,43
206,43
207,43
208,43
209,43
210,43
211,43
212,43
213,42
214,42
215,42
216,42
217,41
218,41
219,41
220,41
221,40
222,40
223,40
224,40
225,40
226,40
227,39
228,39
229,39
230,39
231,38
232,38
233,38
234,38
235,38
236,38
237,38
238,38
239,37
240,37
241,37
242,37
243,37
244,37
245,37
246,37
247,37
248,37
249,37
250,36
251,36
252,36
253,36
254,36
255,36
256,35
257,35
258,35
259,35
260,35
261,35
262,35
263,35
264,35
265,34
266,34
267,34
268,34
269,34
270,34
271,34
272,34
273,34
274,34
275,34
276,34
277,34
278,34
279,33
280,33
281,33
282,33
283,33
284,33
285,33
286,33
287,33
288,33
289,32
290,32
291,32
292,32
293,32
294,32
295,32
296,32
297,32
298,32
299,32
300,32
301,32
302,31
303,31
304,31
305,31
306,31
307,31
308,31
309,31
310,31
311,31
312,31
313,31
314,31
315,31
316,31
317,31
318,31
319,31
320,31
321,30
322,30
323,30
324,30
325,30
326,30
327,30
328,30
329,30
330,30
331,30
332,30
333,30
334,29
335,29
336,29
337,29
338,29
339,29
340,29
341,29
342,29
343,29
344,29
345,29
346,29
347,29
348,29
349,29
350,28
351,28
352,28
353,28
354,28
355,28
356,28
357,28
358,28
359,28
360,28
361,28
362,28
363,28
364,28
365,28
366,28
367,28
368,28
369,28
370,28
371,27
372,27
373,27
374,27
375,27
376,27
377,27
378,27
379,27
380,27
381,27
382,27
383,27
384,27
385,26
386,26
387,26
388,26
389,26
390,26
391,26
392,26
393,26
394,26
395,26
396,26
397,26
398,25
399,25
400,25
401,25
402,25
403,25
404,25
405,25
406,25
407,25
408,25
409,25
410,25
411,25
412,25
413,25
414,25
415,25
416,25
417,25
418,25
419,25
420,24
421,24
422,24
423,24
424,24
425,24
426,24
427,24
428,24
429,24
430,24
431,24
432,24
433,24
434,24
435,24
436,24
437,24
438,24
439,24
440,24
441,24
442,24
443,24
444,24
445,24
446,24
447,24
448,24
449,24
450,24
451,23
452,23
453,23
454,23
455,23
456,23
457,23
458,23
459,23
460,23
461,23
462,23
463,23
464,23
465,23
466,23
467,23
468,23
469,23
470,23
471,23
472,23
473,23
474,23
475,23
476,23
477,23
478,23
479,23
480,23
481,23
482,23
483,23
484,22
485,22
486,22
487,22
488,22
489,22
490,22
491,22
492,22
493,22
494,22
495,22
496,22
497,22
498,22
499,22
500,22
501,22
502,22
503,22
504,22
505,22
506,22
507,22
508,22
509,22
510,22
511,22
512,22
513,22
514,22
515,22
516,22
517,22
518,22
519,22
520,22
521,22
522,22
523,21
524,21
525,21
526,21
527,21
528,21
529,21
530,21
531,21
532,21
533,21
534,21
535,21
536,21
537,21
538,21
539,21
540,21
541,21
542,21
543,21
544,21
545,21
546,21
547,21
548,21
549,21
550,21
551,21
552,20
553,20
554,20
555,20
556,20
557,20
558,20
559,20
560,20
561,20
562,20
563,20
564,20
565,20
566,20
567,20
568,20
569,20
570,20
571,20
572,20
573,20
574,20
575,20
576,20
577,20
578,20
579,20
580,20
581,20
582,20
583,20
584,20
585,20
586,20
587,20
588,20
589,20
590,20
591,20
592,20
593,20
594,20
595,20
596,20
597,20
598,20
599,20
600,20
601,20
602,20
603,20
604,20
605,20
606,20
607,20
608,19
609,19
610,19
611,19
612,19
613,19
614,19
615,19
616,19
617,19
618,19
619,19
620,19
621,19
622,19
623,19
624,19
625,19
626,19
627,19
628,19
629,19
630,19
631,19
632,19
633,19
634,19
635,19
636,19
637,19
638,19
639,19
640,19
641,19
642,19
643,19
644,19
645,19
646,19
647,19
648,19
649,19
650,19
651,19
652,19
653,19
654,19
655,19
656,19
657,19
658,19
659,19
660,19
661,19
662,19
663,19
664,18
665,18
666,18
667,18
668,18
669,18
670,18
671,18
672,18
673,18
674,18
675,18
676,18
677,18
678,18
679,18
680,18
681,18
682,18
683,18
684,18
685,18
686,18
687,18
688,18
689,18
690,18
691,18
692,18
693,18
694,18
695,18
696,18
697,18
698,18
699,18
700,18
701,18
702,18
703,18
704,18
705,18
706,18
707,18
708,18
709,18
710,18
711,18
712,18
713,18
714,18
715,18
716,18
717,18
718,18
719,18
720,18
721,18
722,18
723,18
724,18
725,18
726,18
727,18
728,18
729,17
730,17
731,17
732,17
733,17
734,17
735,17
736,17
737,17
738,17
739,17
740,17
741,17
742,17
743,17
744,17
745,17
746,17
747,17
748,17
749,17
750,17
751,17
752,17
753,17
754,17
755,17
756,17
757,17
758,17
759,17
760,17
761,17
762,17
763,17
764,17
765,17
766,17
767,17
768,17
769,17
770,17
771,17
772,17
773,17
774,17
775,17
776,17
777,17
778,17
779,17
780,17
781,17
782,17
783,17
