user_id,community_id
120024961,23
1292806934832259072,490
786390133,2475
1246440482760085504,888
442851463,349
861978722479558657,1998
1194003391074226178,101
1185834039888044032,2359
1879393561,-1
43115817,586
965057589892464641,-1
1433834352236957701,824
2410932728,1725
365216346,210
255690491,888
27616308,193
1497056280514605059,811
1264676262628462593,124
1082471857541001216,985
2279143414,1126
1201138053420589057,1707
480498745,54
51484206,40
289118612,627
1423594331160600577,1848
286013431,65
2288308578,111
1307648751776010241,467
732085613260898304,564
1311588978991280129,1179
1604260302,705
1122343121457537026,19
3092148387,267
1437168828,23
996585149344108545,14
43914724,3114
1267071694570651649,329
302318073,594
1217198127591186437,-1
1227415715604336641,52
1203051584835538946,2202
3939412072,2
421094855,17
757995401496715264,871
2414795454,2530
2731072181,1775
889983470352650242,1175
2882548615,142
1473765727517691917,2130
2872226579,2222
1288653455897362432,611
1449735058902892550,2074
3090493401,240
1397777663633235968,1076
4479443416,1
1469971458365480961,50
1056984474712297472,1993
247379602,391
232353398,98
59807709,41
971516267650830336,-1
1497162505621286931,259
61565052,51
139713805,2
65159946,1545
1483778406416277510,79
1384536089663348738,187
108117472,118
1398109016975360006,886
138168339,794
37535548,1321
2224040881,219
1452102090776584197,3270
161150365,64
81484701,453
1088011336540475392,2364
1097728256239902726,222
1474822952831102977,-1
56575418,735
1231542469252255745,928
1497065764083355659,22
1434829527490859022,466
1497198311840825409,1981
708404090,17
92149105,49
1357292684512223238,847
2827085194,1048
185722900,2210
227343379,1430
1421880736324403213,1806
1496881274820210690,509
1011952996907962369,2846
890721130989965312,1133
41214438,1784
247302175,210
2575562717,1790
349968009,2037
34262462,159
17919393,1453
983941888095825920,268
262330630,-1
1145001497215717376,1423
268385416,671
1135865431707869184,170
15075999,1114
1416609440036540416,542
1402297562024054786,540
110396781,861
1402351705954603021,3
190566820,2366
433103006,2369
468162887,1456
93268329,103
54075875,385
25334102,1594
2371458720,1538
52436759,354
1349131671392673792,1156
1094255854797369344,747
1123641386,285
313360148,-1
1298705760428400641,680
1327843160,858
1446877063814828040,2077
1369065514522316811,672
1306585385397563399,1090
1284890693907951618,1253
288567673,277
48766152,12
506154028,764
2371261604,219
39002335,491
843289458,210
1358520705084772358,-1
1019142479210209280,-1
1496966064399343622,2
1040396030968295430,18
1080684331,751
18313747,2320
47768131,62
1224492270579118080,458
87977606,1922
2998228456,32
1326164771629129729,144
213341969,249
1183858884185907201,825
238302446,-1
1496808190700363779,118
93432839,1971
1101297343742263300,681
1452730505787551750,890
1417580296736854024,542
524394650,970
4832941924,27
1455629705952915461,2075
1323690161075605504,3341
1411726710,315
4888067270,1751
1350744095979925505,1086
33380514,6
1253106450,450
890263185873305604,-1
1101574261444132864,-1
67117304,19
385671257,16
1470034927609696259,3316
1297706906925125633,23
1491539964387106821,2197
3037066730,1396
904047154997719040,227
358504373,5
21131522,306
4735392155,57
1496834943162400775,28
262675787,819
1481189750660763649,582
755277241479602176,707
1195858374652354560,1053
1312136588,27
1212025788872065031,977
1161752612502327296,1363
1870676288,-1
2809661873,215
2434574777,7
4208039679,-1
1386833754073616386,438
1496795583268503558,1341
1496598990913220609,1136
3775950496,-1
1115874631,265
636989940,1078
109749447,1470
552361451,321
104278607,27
1112167093,-1
1282774139036749832,100
1440359975981772800,142
1055453585926995969,118
48710379,1304
1326963663505420296,59
1359500035986194434,994
57971872,860
2972198213,492
2963274256,1753
145414848,70
2565921343,-1
95412194,1818
1278653174371487747,1546
19790597,1863
155766429,105
832692898739036160,250
1270823585419079684,464
296005306,1918
118794845,1106
392450467,1745
91410786,1942
1497265690218315776,2421
1378,64
1208808557262573568,1121
185789804,117
244548985,726
75612909,64
1223930138,4
362611279,1494
1214846530148020225,821
2228154894,-1
