community_id,size
0,486
1,259
2,258
3,223
4,213
5,168
6,161
7,157
8,138
9,133
10,120
11,120
12,116
13,115
14,113
15,105
16,105
17,103
18,103
19,102
20,99
21,98
22,97
23,96
24,96
25,94
26,89
27,88
28,86
29,85
30,83
31,82
32,81
33,78
34,75
35,75
36,73
37,66
38,64
39,60
40,54
41,54
42,53
43,51
44,50
45,48
46,47
47,43
48,42
49,33
50,33
51,26
52,23
53,12
54,10
55,6
56,3
57,2
