user_id,community_id
1542530614192136195,-1
1369735432318181378,126
1421926554997862408,1
1425530182467735558,281
1249945927,46
3322778820,25
1292001829195218946,747
1550284669710655488,310
2787567876,111
3111900967,9
1434109184673566721,-1
2228641,460
900741,27
250653936,365
1197961849314168833,913
1383920448,199
1361337157659594755,12
1571002980715069440,0
1541848110133018625,4
1392236327786237955,12
932659686331043842,552
979534895117631489,351
1496211777289441291,12
38506813,655
949006625448357888,75
3079045120,279
1548205968550375426,-1
1049384664,545
1276618926882000897,369
1485556937257332736,141
51436270,83
958784586426695680,1
1318644680045846529,-1
1472989736293838858,-1
1216577006680379392,57
31176803,79
1412095804010074112,772
53419277,0
1124685180818657280,695
1512559348739764228,325
1543304734840430595,978
1372159681431535617,210
1549853015347236867,280
2234457766,5
966317137999654913,15
720836845,43
1531701004957253634,184
1314624332027621377,12
1242016226638995456,0
1509811003441266691,857
1307615606469021697,324
1471574587330768897,629
1391882847905062913,12
1518789832159514624,-1
1252479714515660806,212
46780776,98
1300857276329332737,-1
35568958,332
1446091893788581894,12
24911787,1057
1491838675126210569,51
2820866529,31
1400203690112217090,629
1073323008,548
1297588736285442048,950
2554131522,229
283762321,5
1463856737077936134,195
1196623064311717900,310
1265724692733792256,94
1454935205937094664,216
1430862401012789250,12
1528912027808411649,310
1542279290343112705,12
1122539456110706689,53
752660008299409410,55
1112388663885922310,94
1501662020336328706,44
1391881787224346625,12
1559473138689347588,141
4713692841,109
1526557104953098240,12
47884375,280
1485359842583736325,-1
1375761094741012480,78
1543501491998162944,2
46766957,153
1457668890272714755,12
1354045979419418633,12
770315008173629441,75
2874094700,-1
1301463544412676097,9
4896410476,-1
1461077915135795203,599
1294720158444007429,576
991098346394849280,772
1283496267025461249,134
1346500780384083968,12
949027481297633280,0
1556035502955978754,12
199325291,16
1280864630433370114,12
1383156161503928324,75
712380435,-1
1518924997313667073,12
1238469112189333504,-1
1508749342424846340,-1
1372148008800944128,94
840301692067434497,271
1458371837121925125,252
19494129,332
1244315845502910470,19
947213792768872448,0
1458868627667628037,19
1562572897083805700,12
952978023372017664,157
1177264248935731201,-1
1462354697067679750,12
769132309123563521,92
1319980270490165248,176
1908627954,8
1537411141466726401,549
1530925536134021120,-1
1252453700771221506,-1
1393430913904570368,12
1342054408834711557,56
1313841518638137349,58
900873054405971968,637
1540654530550964225,-1
1498916291448614913,116
3375520133,20
2437311740,3
1436413739138535424,-1
55326534,252
