user_id,community_id
596170322,148
2763622394,904
208995765,51
91360498,-1
1022860100040417280,626
49436307,243
54923445,44
704275542648819712,3
289521921,1472
1427652498777591810,326
14589119,67
435882602,51
361179654,-1
304975849,-1
16542230,871
947388246081892352,70
14470793,841
71487564,-1
128555221,554
1044004506009325569,757
1310148120311988224,89
1293573126761177090,1386
60017224,153
4131708375,-1
908997460852445190,659
580635656,1033
952780771244339201,507
1352243007953756160,-1
1217147000560353281,532
997137450635055110,-1
10032712,629
1285603108303798273,289
1258468742,23
21298448,50
1152347326926790659,-1
41091480,-1
418543440,327
1903529994,233
1022056380235018240,1040
1258070126647300099,906
2203232041,368
153485053,592
461663567,-1
109297669,-1
471507946,507
829258038351638528,507
28966660,166
46063808,122
576249121,364
816907233774673922,0
102327070,915
305802819,-1
714553585506377731,129
1007184598412021760,272
211800696,312
259843963,183
1372923240427876352,3
856844737604669441,-1
189156686,1273
1069439375669379072,214
121633694,718
3367687273,165
1177911000315514880,1081
369964973,3
4842452951,1098
1393966787038007298,-1
836518113004904448,-1
55465125,-1
1206893145490894849,-1
1176555762283405313,648
44613357,50
119385045,-1
1440546311665717255,939
604282994,51
2522841120,1061
971315817358020608,23
3265965439,265
1451168353985314816,1122
1419154433624080387,51
1308310929923354628,-1
300449911,438
241187592,-1
2539639465,735
296446103,1062
21232426,279
441833056,312
1225319823707602947,1556
2828699370,507
1488520796,1529
86849737,1274
18841928,-1
167154454,464
606197949,143
524531680,240
978258881582387201,3
902617025629052935,-1
633705263,828
24357823,-1
358235006,308
1454539714527125512,257
1309510502507257860,1428
233498480,823
39344961,125
38186656,846
144285207,143
702539580738838528,26
19782845,166
460923736,-1
1137154609,589
1305707998065557505,-1
1384228362441224192,629
629315436,411
250545055,323
1232408377692692480,0
627586654,305
1394911841919414272,-1
1401828731514232837,-1
857619337812815873,122
1401452754678300677,296
1287744376970461186,26
923640446,-1
329183953,26
27220262,-1
1640241060,1681
1039366976,-1
1172490816973131778,814
1638021792,80
1071810233201086464,406
1349089800800890882,457
2444556654,80
407928028,-1
3014435937,1121
451612382,1311
327629108,26
1108711093038444544,57
25116632,25
1435683763741147140,-1
212315904,309
706591231,242
281841769,1174
2893119829,27
601993521,62
19897138,-1
741300155593416705,1329
36316250,-1
349270821,134
1288908866563051520,-1
330262748,15
1413431412791734274,3
1480934442,-1
216173306,349
1022606785,480
1418257656213426180,427
1035576297483890689,3
550854463,649
1711928202,14
1260092785316765696,946
29473724,838
847459527964229633,380
2755902767,129
1426389377303859204,170
749884538105524224,-1
287175750,309
20762616,279
1257340882048745473,14
1310873767518838785,259
362382939,-1
1179765871,665
21441975,1432
193284435,158
17798745,238
303019129,29
2883779212,-1
3924677112,726
2898267702,-1
1110405448425836544,3
606669336,257
516935473,180
1004655656165691392,1260
1087655698467557380,37
2849469361,-1
17483462,-1
1317387757338136577,74
381203860,234
945477824,3
1134460388,-1
2499851432,-1
3371720590,-1
798260832,418
2732010782,1092
838236122,614
1209258074,726
18895411,464
1403752144503705606,-1
968985158,-1
1690539253,1170
8974582,1107
278991193,1579
874388054,93
18188632,72
19533656,297
976599918,11
1373273798032560130,418
1099286480130850816,-1
84672644,736
2894793029,418
1351680660063268865,-1
1723408466,221
353032173,122
2524848746,915
3039328093,158
3005405027,465
14173315,385
199025028,983
3386911301,-1
1170115708845469696,481
1240813559342342145,100
19966940,372
1084523178444099584,-1
27892402,431
1216675004953264128,-1
1143602920384094210,-1
1232617987959644161,741
178418353,334
1306815682613587969,0
1231955995091492866,130
1167669981351313408,774
1364353069,3
63450028,196
701369619039256576,289
1296876046646759424,341
495148955,743
893087289575972864,501
983065082,-1
799069106,-1
210642223,534
1370444092996517895,23
410636832,1547
1462523527312015363,918
1215246564706410498,1061
1332436606767263746,941
1331632873338793986,427
22239247,85
34529200,430
1083490905154236416,148
752930894957146114,-1
998143128195489792,-1
14518975,935
1402831091526897669,398
1573512366,1247
1155110978335281154,629
1495516616,1229
193188089,148
751534848,589
618138427,143
857193947361423361,-1
1001022572186820608,879
3271105524,608
469508969,3
219290967,186
26721445,770
1024791654,-1
3385048329,718
202124139,758
36002980,436
1233818317992816640,-1
2172869888,1095
81157754,426
1268594612786073600,804
276242425,195
51854908,483
1572504756,134
27985069,828
4775182386,143
250370196,-1
1287148448,-1
794266768479027200,1065
551324981,97
2308785978,170
338493408,1550
798445136950816768,1298
827563629553786880,279
494395730,-1
57684053,297
1274773211226550272,143
4385172616,-1
197590801,-1
1298322414594428928,3
1461956842859360257,-1
724546621,-1
83827310,1063
603219931,439
339915884,-1
19230601,166
3362741,-1
108568373,44
1387409706893946881,23
330373221,368
1276525630935519235,196
394416044,1199
1120467401168965633,-1
1073712829419671552,1324
717161411567222785,838
61738508,195
21294356,587
76346261,-1
56466296,532
1264506506852151298,44
1317007717198786560,273
319065738,429
1368396376145616897,440
20689749,297
729664131167555585,-1
1404477215677456392,-1
42388946,269
140091794,74
1413353431939551235,3
712975859162947584,-1
1015172987136434176,-1
2688402292,25
50770631,1275
1453971301333274625,308
878440404,186
74831326,-1
968416834138591234,23
1338522338,3
1219998904659382272,10
278083417,282
2532884354,793
729242972,27
1198695975751180288,-1
30629175,214
1528860228,-1
256263088,3
1170763654956032000,740
916977281779847169,741
131967942,481
872288131629723648,191
23123824,133
1258809176165408780,742
443565818,-1
271913390,1068
45840503,-1
948232480561254401,14
1886325516,733
993483668,1090
1227638133338103810,23
1019432741593632769,588
211526883,483
940523137288081408,340
593584299,742
712645860,205
61740757,-1
1183824107458191360,832
91163520,195
1172254698298073088,3
1182646779512311809,743
290235022,1074
877857931349311492,26
70934545,-1
176487905,289
1122577226044706822,172
1407995285767299078,482
2522682794,919
115393565,1285
94292440,50
1257592799228198912,-1
877587211,122
1452343995082936325,-1
1369376412008906756,305
1889784728,1283
866503271602679811,-1
188194615,123
1429435942700404743,838
1166040349900517376,-1
1412125415993397251,289
234694571,289
1392911786173677569,0
104889562,33
4866519789,-1
1385351121603076101,447
14525762,326
55587126,37
2869655246,995
1107921558104952832,122
313360148,1229
354863947,614
461988041,1069
1424320139936157697,238
1444752807849041920,3
1101140380660117505,1287
1264289878210048000,115
11855772,761
1458916530784247814,46
1036703261259169792,268
925675836526776321,-1
947049307299074048,10
1237274606769070080,-1
298689306,327
175764026,14
19653611,214
294670779,208
14583470,67
1321764080961622016,47
2908107542,-1
42378868,1083
4244753853,122
359323237,-1
230784738,425
1459639643138191360,372
923057383,634
3079438607,371
1092617070,195
1172430164073955330,10
308372640,-1
274609150,595
88824774,312
157381435,237
769511046046416896,-1
397203705,-1
66670262,426
22006155,1192
3058978594,312
902408190,269
2527398103,653
111556576,381
231075805,309
812980064195379200,-1
515328035,122
327331132,-1
2315110890,1299
260217132,268
460038820,221
1272533657295769604,240
9610442,60
1139168651481899008,172
890899763805270016,3
37893611,186
1237570615407792131,539
1436869501434449986,-1
1108780252979814401,741
116424578,368
21024763,28
365286811,55
835508483076288515,204
396767596,281
55873712,503
58802505,616
337777764,747
380648579,172
626325803,269
314669409,93
300405606,672
2996281641,748
43806353,809
284175430,1242
1457944110694903808,368
2883801334,703
857490082726596608,629
1397280686298603520,197
838785514727747586,-1
1446738257807646720,-1
1408461194709508100,589
1364928658641719298,412
1409915634134159369,629
709031949936037888,-1
236586969,538
1392337769117143041,-1
219270801,651
47714330,-1
787970386810040322,-1
2380259108,1373
1312417675000401920,29
2870404174,196
1473338989159530498,-1
5665742,-1
182326620,-1
1474481873766256644,573
144959397,-1
1337385877840879621,1547
1413374861997658113,830
842699708330131457,1021
258310699,74
323258758,0
1466213199015993346,80
166141226,3
185909298,1279
38142624,369
1370780098421526555,843
295871569,-1
1319489637962944514,-1
891425172972077056,190
1364612344437858308,112
1436810617457975296,-1
3224725115,243
1459789706464485376,-1
1275296344177954817,840
1445446892645539840,410
1292537509,-1
128265555,14
276415112,410
1149173893157888000,163
1721558761,3
100259750,50
14700316,243
364740728,592
118656026,428
2373735295,428
17839398,1289
1146143301692772358,381
1088413298,468
3066033426,1079
389689915,3
1272828301,0
1261250169003180033,-1
16671007,643
7587032,23
710553003569205250,147
82631036,261
229048176,151
805215438,840
1427985578239352840,-1
1229851821595910147,15
56819607,205
3251813418,3
32760414,651
222291931,257
58114546,-1
1116422132974727168,559
1262430567481643012,588
1451046605826805762,841
21866939,298
454998934,841
975161753897140224,-1
790371762,1085
394986531,841
335236340,710
376920145,543
1204064616168534016,237
708201634937987076,-1
779684780224892928,237
325271213,317
1462778861507301386,489
1290690246049443842,-1
15084853,1670
1341017677595209728,3
780306382213947392,1218
252713952,737
819535545827201024,89
748106282528346112,-1
219777498,-1
1272911592947175425,532
2524734188,-1
21088417,737
1940561376,1131
170886795,280
1464704217386528769,122
1297588814882406402,0
354004878,123
727956698,-1
851770181475028992,-1
438152067,-1
1437127372625653766,-1
276178942,-1
24711528,326
425680438,-1
1686284708,863
2527659656,654
2537344668,269
2685872904,166
738109530786156544,-1
33290097,-1
1349529579862568961,128
812477166,50
1347367708539580419,74
914406498,129
988264244876488706,588
1440840510776565765,-1
921404004,-1
1463528941386289155,3
184170041,25
19927969,383
46403451,232
20232892,139
1221054775107751936,170
20667905,-1
306902765,-1
2882515858,-1
889836690,1298
1349276420804112385,1326
480619330,0
1342040373301047296,543
152601415,382
711760467383877632,-1
784737184863715329,349
1465803427473145859,371
3289392683,50
555088961,588
1316523898989617153,50
892625105993551876,825
401488459,940
1413380019951390722,1553
359814915,3
1423083747604254726,1223
3383334953,-1
23169727,430
946437500805009408,-1
917477561164279813,151
2225341094,561
3741264094,-1
1455263030237933569,-1
1286107816122626048,773
35819412,-1
4268104636,50
3043758400,561
803795659098882048,3
776503020188209152,74
2721662069,468
20816974,-1
720137253591252993,-1
1390468360459128832,476
260375404,187
55990764,0
3353789662,-1
46068885,1080
1428173090429698048,-1
20752767,-1
382559030,-1
1036590283545305088,0
1144358453273452544,380
1470049786300489738,594
2321766421,51
1413262575823949835,85
87138280,14
1580739763,133
1425063696,191
1356269075949891585,237
1625484793,-1
27097694,-1
1471793031468699652,1292
1012958223815659520,757
53344861,430
1471496430074286088,-1
1290737276352368652,-1
2752548731,942
21009450,1273
2882461313,-1
54029061,706
808755602461696003,-1
1115874631,-1
998914020450160640,14
2525159480,360
902832019947884544,-1
2524845253,-1
1433349666,62
